,store_name,address
0,7 Eleven,"611-613 Congress Avenue, Austin Texas 78701"
1,Newk’s Eatry,"600 Congress, Austin Texas 78701"
2,Blue Tiger,"703 East 6th Street, Austin Texas 78701"
3,Mobile Food Mart,"717 E 7th, Austin TX 78701"
4,Gulf 7th,"701 North Interstate Highway 35, Austin Texas 78702"
5,Lucile Bar,"77 Rainey Street, Austin Texas 78701"
6,Bee Grocery,"1001 East 6th Street, Austin Texas 78702"
7,7 Eleven,"401 W 15th street, Austin TX 78701"
8,Kwik Mart #1,"1200 North Lamar Boulevard, Austin TX 78703"
9,HEB #91,"2508 E Riverside, Austin TX 78741"
10,HEB #45,"1005 South Congress Avenue, Austin TX 78704"
11,Hillside Pharmacy,"1208 East 11th Street, Austin Texas 78702"
12,Paperboy,"1205 East 11th Street, Austin Texas 78702"
13,Quickie Pickie,"1208 East 11th Street, Austin Texas 78702"
14,Dobbie Market,"2025 Guadalupe, Austin TX 78705"
15,Jester Hall,"2017-2065 Speedway, Austin Texas 78712"
16,Quick Stop,"1700 East Cesar Chavez Street, Austin TX 78702"
17,Bodega on Rio,"2101 Rio Grande, Austin TX 78705"
18,Cypress Bend,"2090-2098 San Jacinto Boulevard, Austin Texas 78712"
19,Clarksville Market,"1001 West Lynn Street, Austin TX 78703"
20,East 1st Grocery,"1811 E Cesar Chavez, Austin TX 78702"
21,fresh Plus,"1213 West Lynn Street, Austin TX 78703"
22,1st Food Mart,"1415 South 1st Street, Austin TX 78704"
23,7-Eleven,"900-998 West 24th Street, Austin TX 78705"
24,Fresh Plus,"2401 San Gabriel, Austin TX 78705"
25,Orange Market,"2404 San Gabriel Street, Austin TX 78705"
26,Little Field Cafe,"2519-2599 University Avenue, Austin Austin 78705"
27,Bread Basket,"2150 East 7th Street, Austin TX 78702"
28,7 Eleven,"1403 South Lamar Boulevard, Austin TX 78704"
29,7-Eleven,"2600-2602 Whitis Avenue, Austin TX 78705"
30,Kins Market,"2600-2602 Whitis Avenue, Austin TX 78705"
31,Kinsolving,"2601 Whitis Avenue, Austin Austin 78705"
32,7 Eleven,"2600 Guadalope St, Austin Austin 78705"
33,7 Eleven,"2803 San Jacinto Boulevard, Austin Texas 78705"
34,David Store,"976-998 West Mary Street, Austin Texas 78704"
35,7 Eleven,"2103 South Congress Avenue, Austin TX 78704"
36,Everytime Stop,"2105 South Congress Avenue, Austin TX 78704"
37,Nueces Market,"2700 Nueces, Austin TX 78705"
38,7 Eleven,"1705 South Lakeshore Boulevard, Austin TX 78741"
39,Lake Austin chevron,"500-598 Deep Eddy Avenue, Austin TX 78703"
40,Bluebonnet Food Mart,"1909-1999 Anita Drive, Austin TX 78704"
41,Barton Hills Market,"1300 Barton Hills Drive, Austin Texas 78704"
42,Deep Eddy Food Plaza,"2411 Lake Austin Boulevard, Austin TX 78703"
43,HEB 465,"2701 E. 7th, Austin TX 78702"
44,EZ Way Food Store,"2700 E 7th street, Austin TX 78702"
45,7 Eleven,"2620 Lake Austin Boulevard, Austin TX 78703"
46,E. MLK Food Mart,"2911 East Martin Luther King Junior Boulevard, Austin TX 78702"
47,N. Lamar Shell,"3201 North Lamar Boulevard, Austin TX 78705"
48,Fighting  Orange,"3807 North Interstate 35 Frontage Road, Austin TX 78722"
49,Monarch Food Mart,"1402 E. 38th 1/2 St., Austin TX 78722"
50,7 Eleven,"1763-1799 East Oltorf Street, Austin Texas 78741"
51,Kings Food Mart,"2907 South 1st Street, Austin TX 78704"
52,Courtesy Shell #4,"1828-1834 East Oltorf Street, Austin TX 78741"
53,Good Luck Food Mart,"3713 Guadalupe, Austin TX 78705"
54,D H Mini Mart,"519-599 Sacramento Drive, Austin TX 78704"
55,Brew Market and Cafe,"3844-3848 Airport Boulevard, Austin TX 78722"
56,Food Mart,"2400, Austin TX 78741"
57,HEB #425,"1000 East 41st Street, Austin TX 78751"
58,Any Day Grocery,"919 Springdale Road, Austin TX 78702"
59,Lamar Grocery,"2706-2708 South Lamar Boulevard, Austin TX 78704"
60,apple Mart,"2101 Wickersham Lane, Austin TX 78741"
61,Barton Hills Food Mart,"2201-2213 Barton Skyway, Austin TX 78704"
62,Peoples Pharmacy 1,"4018 North Lamar, Austin Texas 78756"
63,Congress Express,"3630 South Congress Avenue, Austin TX 78704"
64,Mosaic Market,"4600 Mueller Blvd., Austin TX 78723"
65,Courtesy Shell #2,"3906 South Congress Avenue, Austin TX 78704"
66,7 Eleven,"4140 Texas 275 Loop, Austin TX 78745"
67,John’s Food Mart,"2238 East Ben White Boulevard, Austin Texas 78741"
68,HEB #639,"1801 E 51st, Austin TX 78723"
69,Montopolis Grocery,"1211 Montopolis Drive, Austin TX 78741"
70,Metro Mart,"4400 East Ben White Boulevard, Austin Texas 78741"
71,Live Oak Market,"4416 Manchaca Road, Austin TX 78745"
72,Ben White Shell,"2125 West Ben White Boulevard, Austin TX 78704"
73,Beatniks Market,"4415 Manchaca, Austin TX 78705"
74,Bucky Mart,"6315 East Stassney Lane, Austin TX 78744"
75,HEB #202,"5808 Burnet Road, Austin TX 78756"
76,7 Eleven,"5901 Burnet Road, Austin Texas 78756"
77,7 Eleven,"6707 Cameron Road, Austin Texas 78752"
78,HEB #29,"701 Capitol Of Texas Hwy, Bld C, West Lake Hills TX 78764"
79,H&R Grocery,"6573-6601 South Congress Avenue, Austin TX 78745"
80,Manor Food Mart,"6700 Manor, Austin TX 78723"
81,7-Eleven,"6518 Ed Bluestein, Austin TX 78723"
82,HEB #374,"616 West William Cannon Drive, Austin TX 78745"
83,7 Eleven,"304 East William Cannon Drive, Austin TX 78745"
84,HEB #161,"4600-4798 Turner Lane, Austin TX 78723"
85,Cannon Food Mart,"1681 East William Cannon Drive, Austin TX 78744"
86,HEB #229,"6607 Interstate 35, Austin TX 78744"
87,Airport,"9301 Rental Car Road, Austin Texas 78719"
