,name,lat,lon
0,foot outlet,33.6120833,-85.9632739
1,Winn Dixie,33.5978283,-85.928149
2,Target,33.6087685,-85.783059
3,Target,33.2243459,-86.8043602
4,Walmart Supercenter,33.2354886,-86.8012102
5,Publix Supermarket,33.2747947,-86.7925621
6,Walmart Supercenter,34.4955794,-87.2769413
7,Target,34.7410978,-86.6821021
8,Publix,34.756162,-86.7416513
9,Publix,33.2800438,-86.8538439
10,Walmart Neighborhood Market,33.27952,-86.8512003
11,Dollar General Market,34.7072662,-86.7402215
12,Star Supermarket,34.7385841,-86.5762711
13,John's big Brother,34.7279191,-86.6288682
14,Target,34.6735029,-86.5422231
15,Earthfare,34.7423244,-86.6664531
16,Walmart Supercenter,34.61586,-86.570681
17,Walmart Supercenter,32.3707826,-86.2682804
18,Publix,34.6589984,-86.4812712
19,Walmart Supercenter,34.7470725,-86.6760256
20,BigK,34.2778702,-86.2038685
21,Piggly Wiggly,34.5397171,-87.1598591
22,Walmart Supercenter,34.7652145,-86.5924412
23,Brunos,33.1918725,-87.5241134
24,Winn Dixie,32.4619323,-86.455441
25,Foodland,34.5248746,-86.8934757
26,Publix,33.3559284,-86.8427022
27,Priceless IGA,33.8066063,-85.7602842
28,Foodland,34.840542,-87.6867769
29,Dollar General,31.9455073,-86.3153474
30,Winn Dixie,33.237,-87.552464
31,Buddy's,33.259162,-87.514251
32,Publix,33.2629891,-87.5135906
33,Piggly Wiggly,33.2298022,-87.5752858
34,Cash Saver,33.1693639,-87.5276783
35,Foodland,33.6529759,-86.812571
36,Walmart Supercenter,33.6470907,-86.8232982
37,Food Depot,33.6504046,-86.8104138
38,Walmart Supercenter,32.434137,-87.012949
39,Ray's,31.293158,-85.10996
40,Winn-Dixie,33.3462774,-86.6308773
41,Walmart Supercenter,33.347786,-86.619238
42,Jamo's Grocery,34.7266594,-86.6266602
43,Choi's Oriental Food & Gifts,34.7243624,-86.6270196
44,Jamo's Grocery,34.7250017,-86.6266709
45,Rouse's Market,30.2660105,-87.6900354
46,Publix,30.2986297,-87.6816058
47,Cain's Piggly Wiggly,30.3928508,-87.6846334
48,Winn-Dixie,30.3932394,-87.6818332
49,Winn Dixie,33.3062857,-87.602672
50,Target,33.6054364,-86.6372852
51,K Mart,33.6416109,-86.6213556
52,Walmart Supercenter,33.638953,-86.629165
53,Sam's Club,33.6451413,-86.6251159
54,Walmart Supercenter,32.507156,-86.211951
55,Dollar tree,33.2371453,-87.6114133
56,Dollar Tree,33.1706218,-87.5217708
57,Asian Market,33.1954606,-87.5622855
58,La Bodeguita,33.1978038,-87.5097464
59,Dollar General,33.1854227,-87.5292143
60,Winn-Dixie,33.6153319,-86.6181014
61,Save a Lot,33.3910508,-86.9772661
62,Fred's,33.3912031,-86.9771213
63,Dollar General,33.1656709,-87.5160395
64,Food Giant,33.6980891,-86.6821978
65,Family Dollar,33.2006584,-87.5445022
66,Mr Chen's Oriental Market,33.2006628,-87.5439684
67,Piggly Wiggly,33.1968209,-87.5621399
68,Star Supermarket,34.8646324,-86.5705267
69,Publix,33.6077762,-85.7875592
70,Publix,33.6412303,-86.5797901
71,Publix,33.6557849,-86.6469305
72,Win Dixi,33.6523667,-86.6495939
73,Piggly Wiggly,33.6654342,-85.8254889
74,Ramey's Pic N Sav,31.5361714,-87.8894552
75,Food Tiger,31.2657345,-88.0306387
76,Publix,33.4532639,-86.9782514
77,Piggly Wiggly,34.4387242,-88.138478
